
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.3898480E-03   0.0000000E+00   0.0000000E+00   0.1974457E-01
      2  -0.1363257E-03   0.0000000E+00   0.0000000E+00   0.1167586E-01
      3  -0.5140077E-04   0.0000000E+00   0.0000000E+00   0.7169433E-02
      4  -0.4844732E-05   0.0000000E+00   0.0000000E+00   0.2201075E-02
      5   0.3616227E-04   0.6013508E-02   0.9570795E-03   0.0000000E+00
      6   0.9865702E-04   0.9932624E-02   0.1580826E-02   0.0000000E+00
      7   0.1295586E+09   0.1138238E+05   0.1811562E+04   0.0000000E+00
      8   0.1296868E+09   0.1138801E+05   0.1812459E+04   0.0000000E+00
      9   0.3139487E+09   0.1771860E+05   0.2820002E+04   0.0000000E+00
     10   0.9265999E+09   0.3044010E+05   0.4844693E+04   0.0000000E+00
     11   0.9266567E+09   0.3044104E+05   0.4844841E+04   0.0000000E+00
     12   0.1258693E+10   0.3547806E+05   0.5646509E+04   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.7302266E-03  -0.4564018E-03  -0.1373576E-01   0.2049084E+00   0.1224518E+00  -0.4441334E-02
      2  -0.1807153E-02  -0.2301232E-03  -0.7359165E-02  -0.3524374E-01  -0.3488055E+00  -0.9085593E-02
      3  -0.1603751E-02   0.1765855E-03  -0.7680373E-02  -0.3246695E+00   0.1143679E+00   0.3159561E-01
      4   0.1156080E-01  -0.7468484E-02  -0.1344492E-02  -0.2267090E-01   0.9713522E-02  -0.3315117E+00
      5   0.1044404E-01   0.1380726E-01  -0.1519041E-02  -0.2463491E-01  -0.1771125E-02   0.5958658E-01
      6  -0.7559430E-02   0.7715897E-02   0.5606830E-03  -0.1119545E-01   0.6794143E-02  -0.4287660E+00
      7   0.1167937E-14  -0.3483130E-15   0.8166172E-15  -0.1603664E-11  -0.6525897E-11   0.7349363E-08
      8  -0.1227009E-14  -0.2066778E-14   0.1080175E-13   0.3168995E-11  -0.3503320E-11   0.4660421E-07
      9   0.1414829E-15  -0.3471062E-15  -0.1221519E-13   0.5645663E-11  -0.1423875E-10   0.1730020E-10
     10   0.7143102E-15  -0.6535920E-15   0.6027026E-16  -0.2378024E-04  -0.1124145E-03   0.1688013E-11
     11   0.2586646E-15   0.1011021E-15   0.4381386E-15   0.1170476E-03  -0.2362300E-04   0.8772477E-12
     12  -0.1548513E-15   0.3570141E-15  -0.1479767E-14  -0.6458325E-03  -0.2272607E-03   0.2265122E-11

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5332309E-06   0.2083026E-06   0.1886712E-03   0.4198744E-01   0.1499444E-01   0.1972545E-04
      2   0.3265804E-05   0.5295670E-07   0.5415730E-04   0.1242121E-02   0.1216652E+00   0.8254801E-04
      3   0.2572019E-05   0.3118245E-07   0.5898813E-04   0.1054103E+00   0.1308002E-01   0.9982823E-03
      4   0.1336522E-03   0.5577825E-04   0.1807658E-05   0.5139698E-03   0.9435250E-04   0.1099000E+00
      5   0.1090779E-03   0.1906404E-03   0.2307485E-05   0.6068788E-03   0.3136883E-05   0.3550561E-02
      6   0.5714498E-04   0.5953507E-04   0.3143654E-06   0.1253381E-03   0.4616037E-04   0.1838403E+00
      7   0.1364077E-29   0.1213220E-30   0.6668637E-30   0.2571738E-23   0.4258734E-22   0.5401314E-16
      8   0.1505552E-29   0.4271573E-29   0.1166777E-27   0.1004253E-22   0.1227325E-22   0.2171952E-14
      9   0.2001742E-31   0.1204827E-30   0.1492109E-27   0.3187351E-22   0.2027421E-21   0.2992969E-21
     10   0.5102391E-30   0.4271825E-30   0.3632504E-32   0.5654997E-09   0.1263702E-07   0.2849388E-23
     11   0.6690739E-31   0.1022163E-31   0.1919654E-30   0.1370014E-07   0.5580459E-09   0.7695635E-24
     12   0.2397893E-31   0.1274590E-30   0.2189709E-29   0.4170996E-06   0.5164743E-07   0.5130778E-23
TOTAL     0.3062461E-03   0.3062461E-03   0.3062461E-03   0.1498865E+00   0.1498834E+00   0.2983914E+00

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.3062461E-03   0.3062461E-03   0.3062461E-03   0.1500976E+00   0.1500951E+00   0.2987108E+00

